皇華十詠 [[732, 267], [1234, 264], [1237, 381], [735, 384]]
洞庭秀色 [[798, 451], [1178, 449], [1179, 533], [799, 535]]
五 [[1003, 595], [1068, 594], [1069, 661], [1004, 662]]
四望溟茫玉一壺 [[717, 707], [1278, 705], [1279, 781], [718, 784]]
漫漫秋色散平湖 [[712, 822], [1281, 820], [1282, 895], [713, 897]]
浪搖花影魚吞雪 [[710, 941], [1290, 940], [1291, 1013], [711, 1014]]
波弄星光蚌吐珠 [[717, 1054], [1287, 1051], [1288, 1129], [718, 1130]]
鶴嶺仙翁多遣興 [[715, 1173], [1293, 1171], [1294, 1249], [716, 1250]]
君山釣叟任閑娛 [[721, 1288], [1293, 1287], [1294, 1357], [722, 1359]]
泛帆誰識陶朱意 [[727, 1401], [1294, 1401], [1294, 1474], [727, 1474]]
欲借餘清洗沼吳 [[725, 1519], [1292, 1518], [1293, 1590], [726, 1591]]
