和周燦留别詩 [[656, 223], [1244, 221], [1246, 319], [658, 321]]
驛路梅花炤玉顏 [[673, 366], [1230, 363], [1231, 439], [674, 442]]
翩翩劍佩送仙班 [[686, 480], [1231, 478], [1233, 555], [688, 559]]
月明千里如相憶 [[692, 594], [1250, 592], [1252, 672], [694, 673]]
遙望南山與北山 [[688, 713], [1237, 709], [1239, 789], [690, 793]]
治平原向修齊上 [[699, 824], [1246, 822], [1248, 908], [701, 910]]
古今昭然在兩間 [[696, 937], [1244, 935], [1247, 1019], [699, 1025]]
想得濟時心汲汲 [[704, 1057], [1258, 1051], [1261, 1140], [707, 1143]]
鄒翁氣象嶷如山 [[710, 1174], [1256, 1172], [1258, 1259], [712, 1261]]
使路驅千萬里 [[707, 1284], [1260, 1281], [1263, 1371], [710, 1375]]
交情款曲兩三旬 [[717, 1398], [1258, 1396], [1261, 1483], [720, 1490]]
勿嫌南北風聲異 [[723, 1513], [1266, 1511], [1269, 1601], [726, 1604]]
斯道原來一聖真 [[720, 1629], [1267, 1627], [1270, 1714], [723, 1717]]
