次韻賀工部尚書 [[625, 225], [1309, 225], [1309, 316], [625, 316]]
施慶伯黄公寘致仕 [[568, 376], [1370, 376], [1370, 456], [568, 456]]
仕途指點歷崇班 [[649, 640], [1215, 640], [1215, 711], [649, 711]]
莫問仙籌一枕鄲 [[654, 743], [1216, 743], [1216, 809], [654, 809]]
道講唐虞參鳳閣 [[648, 840], [1205, 839], [1206, 919], [649, 920]]
弼諧契列堂餐 [[645, 946], [1215, 946], [1215, 1016], [645, 1016]]
御前寵詔優黃髮 [[651, 1044], [1213, 1046], [1212, 1120], [650, 1119]]
袖裡天香扑玉冠 [[647, 1152], [1214, 1152], [1214, 1217], [647, 1217]]
天壽我公平格壽 [[649, 1244], [1216, 1245], [1215, 1323], [648, 1322]]
山中宰相有餘閒 [[649, 1352], [1213, 1352], [1213, 1423], [649, 1423]]
高風蠱上夏纖埃 [[651, 1593], [1216, 1594], [1215, 1668], [650, 1667]]
致仕榮成疊望傕 [[649, 1694], [1213, 1695], [1212, 1768], [648, 1767]]
適意景濃花草木 [[650, 1798], [1214, 1798], [1214, 1867], [650, 1867]]
凝眸庫積月樓臺 [[649, 1895], [1214, 1897], [1213, 1970], [648, 1968]]
陽春興思吟餘韻 [[652, 2001], [1215, 2001], [1215, 2068], [652, 2068]]
旭日頤真醉裡盃 [[646, 2100], [1210, 2101], [1209, 2173], [645, 2172]]
不盡福留槐子做 [[652, 2204], [1214, 2204], [1214, 2268], [652, 2268]]
克昌厥後覺先開 [[648, 2302], [1210, 2302], [1210, 2371], [648, 2371]]
