無求吟 [[825, 280], [1123, 278], [1124, 365], [826, 367]]
守素位懶營求 [[739, 438], [1222, 436], [1224, 513], [741, 515]]
外卻窮通攘喜憂 [[696, 551], [1262, 547], [1264, 631], [698, 633]]
甘淺拙寡謀猷 [[737, 667], [1229, 666], [1230, 739], [738, 740]]
量才揣分覺宜休 [[698, 779], [1275, 777], [1276, 857], [700, 859]]
美玉明珠非不重 [[703, 896], [1269, 895], [1270, 971], [704, 974]]
那堪能與輕投 [[703, 1012], [1284, 1010], [1285, 1087], [704, 1090]]
無暇掃門候齊相 [[706, 1124], [1275, 1123], [1276, 1200], [707, 1203]]
沉欲束帶見督郵 [[713, 1239], [1285, 1236], [1286, 1316], [714, 1317]]
恥說二天托薊郡 [[716, 1353], [1284, 1352], [1285, 1428], [717, 1430]]
敢因歡飲玩舒州 [[718, 1470], [1282, 1469], [1283, 1545], [719, 1546]]
造物賦予已前定 [[721, 1583], [1290, 1582], [1291, 1655], [722, 1658]]
空使身心役役愁 [[728, 1693], [1293, 1691], [1295, 1774], [730, 1776]]
堪憐喪心鎖核老 [[723, 1808], [1295, 1807], [1296, 1885], [724, 1887]]
晝夜額額執牙籌 [[730, 1920], [1295, 1918], [1297, 1999], [732, 2004]]
