峻宇穹窿徒四壁 [[702, 256], [1268, 255], [1268, 330], [702, 330]]
巨航蕩漾只孤篷 [[709, 370], [1266, 370], [1266, 448], [709, 448]]
六親麻枲膚難掩 [[708, 486], [1269, 485], [1270, 561], [709, 562]]
百口糠秕腹未充 [[709, 606], [1272, 606], [1272, 670], [709, 670]]
見面令人增厭斁 [[704, 721], [1274, 721], [1274, 788], [704, 788]]
纔奕自己竭歡忠 [[703, 833], [1269, 832], [1270, 907], [704, 908]]
燃眉尚作太平話 [[707, 952], [1278, 952], [1278, 1025], [707, 1025]]
相骨猶希俠貴風 [[713, 1068], [1281, 1068], [1281, 1138], [713, 1138]]
水到沃蕉無剩滴 [[709, 1185], [1275, 1185], [1275, 1257], [709, 1257]]
玉雕楮葉枉施功 [[709, 1302], [1276, 1302], [1276, 1368], [709, 1368]]
樽前榮瘁關身上 [[705, 1416], [1280, 1416], [1280, 1486], [705, 1486]]
寧敢拋心不憫恫 [[713, 1534], [1278, 1534], [1278, 1601], [713, 1601]]
