次韵賀工部尚書施慶伯 [[501, 379], [1500, 377], [1501, 468], [502, 469]]
黄公寘致仕 [[763, 526], [1251, 524], [1252, 609], [764, 610]]
其二 [[936, 665], [1085, 663], [1086, 728], [937, 730]]
許饒世事等浮埃 [[723, 776], [1296, 775], [1297, 849], [724, 850]]
水竹煙花逸興催 [[733, 897], [1296, 897], [1296, 963], [733, 963]]
上巽章辭玉陛 [[821, 1009], [1296, 1008], [1297, 1084], [822, 1085]]
閒敲詩響綴平臺 [[744, 1123], [1295, 1121], [1296, 1199], [745, 1200]]
東都門外濃春色 [[739, 1237], [1290, 1235], [1291, 1315], [740, 1316]]
畫錦堂中獻壽盃 [[734, 1353], [1305, 1352], [1306, 1433], [735, 1434]]
别有一般真樂處 [[744, 1468], [1302, 1467], [1303, 1548], [745, 1549]]
芝蘭玉樹滿前開 [[744, 1586], [1296, 1585], [1297, 1660], [745, 1663]]
