刁鷂驛次住征襄 [[754, 262], [1315, 262], [1315, 331], [754, 331]]
羲馭高春色向黃 [[745, 374], [1317, 375], [1316, 450], [744, 449]]
憑仗皂臺還省候 [[750, 492], [1317, 492], [1317, 563], [750, 563]]
加餐冀為白萱堂 [[741, 607], [1314, 608], [1313, 680], [740, 679]]
萱堂念我情如注 [[746, 725], [1316, 725], [1316, 796], [746, 796]]
千里眸中遮嶺樹 [[746, 841], [1318, 843], [1317, 917], [745, 916]]
月帳通宵警遠砧 [[756, 960], [1320, 960], [1320, 1032], [756, 1032]]
肩輿數箇衝晨露 [[750, 1077], [1317, 1077], [1317, 1148], [750, 1148]]
登程暮歇市橋轅 [[744, 1192], [1317, 1191], [1318, 1267], [745, 1268]]
耿耿若懷鞠育恩 [[746, 1310], [1314, 1310], [1314, 1378], [746, 1378]]
前進家僮敲爽户 [[743, 1424], [1313, 1424], [1313, 1495], [743, 1495]]
報明慈駕傍前村 [[745, 1542], [1316, 1542], [1316, 1612], [745, 1612]]
徬徨道左虔趨問 [[741, 1659], [1312, 1659], [1312, 1726], [741, 1726]]
母氏向余回一哂 [[743, 1774], [1317, 1774], [1317, 1840], [743, 1840]]
從古情深伯水橋 [[744, 1886], [1316, 1887], [1315, 1960], [743, 1959]]
戀慕衷腸言不盡 [[750, 2002], [1312, 2004], [1311, 2077], [749, 2075]]
日晴雲淡惠風舒 [[758, 2122], [1319, 2122], [1319, 2193], [758, 2193]]
噦噦和鳴謹導輿 [[739, 2236], [1319, 2236], [1319, 2307], [739, 2307]]
去帽崔邠還卻是 [[744, 2348], [1314, 2349], [1313, 2420], [743, 2419]]
