但學夭嬌戲鳳麟 [[708, 245], [1277, 244], [1278, 322], [709, 323]]
免教老媼生豚犬 [[708, 364], [1272, 364], [1272, 433], [708, 433]]
叮嚀拜敎飾征夫 [[713, 480], [1282, 479], [1282, 551], [713, 552]]
駰駱騑騑六轡濡 [[709, 598], [1283, 597], [1283, 667], [709, 668]]
燕薊凝眸沙塞遠 [[715, 711], [1283, 711], [1283, 784], [715, 784]]
家山回首月輪孤 [[717, 830], [1288, 829], [1289, 900], [718, 902]]
孤窗對月情無已 [[715, 945], [1275, 945], [1275, 1018], [715, 1018]]
愁思悠悠傷陟屺 [[720, 1064], [1286, 1064], [1286, 1136], [720, 1137]]
數載那堪缺凊溫 [[710, 1178], [1289, 1177], [1290, 1254], [711, 1255]]
三餐誰是供甘旨 [[723, 1298], [1281, 1297], [1282, 1366], [724, 1368]]
無端心緒似秋紛 [[719, 1413], [1301, 1412], [1302, 1484], [720, 1486]]
旦旦天邊白雲 [[725, 1532], [1291, 1531], [1292, 1604], [726, 1605]]
親舍陰稀烝夏署 [[727, 1645], [1292, 1644], [1293, 1717], [728, 1718]]
帝絃日望奏南薰 [[731, 1760], [1293, 1759], [1294, 1834], [732, 1835]]
長途跋涉三千路 [[728, 1877], [1302, 1876], [1302, 1947], [728, 1948]]
憑便鳞鴻纔兩度 [[731, 1992], [1298, 1992], [1298, 2061], [731, 2061]]
杜孝筒魚奈若何 [[727, 2108], [1299, 2107], [1299, 2180], [727, 2180]]
孟郊淡墨良尤苦 [[732, 2223], [1299, 2223], [1299, 2292], [732, 2293]]
秋山秋水送秋聲 [[732, 2340], [1302, 2338], [1303, 2406], [733, 2408]]
