行雲流水隨所如 [[664, 232], [1206, 231], [1207, 298], [665, 301]]
爾來屏去經生學 [[672, 341], [1213, 341], [1213, 422], [672, 422]]
曠宕不容繩墨束 [[670, 456], [1214, 455], [1215, 532], [671, 533]]
窗前興到便吟哦 [[673, 576], [1221, 574], [1222, 647], [674, 650]]
黃庭南華隨意讀 [[674, 685], [1218, 684], [1219, 763], [676, 768]]
薄田半頃之東 [[680, 803], [1222, 802], [1223, 883], [681, 885]]
土性磽确無常豐 [[682, 918], [1223, 917], [1225, 998], [684, 1001]]
日日荷鋤理荒穢 [[699, 1035], [1228, 1034], [1230, 1114], [701, 1115]]
田夫野叟多相逢 [[691, 1151], [1235, 1147], [1237, 1230], [693, 1232]]
相逢只話農桑務 [[690, 1263], [1234, 1261], [1236, 1343], [692, 1347]]
款曲商量晴與兩 [[687, 1380], [1236, 1378], [1238, 1457], [689, 1461]]
七八月間蟹正肥 [[692, 1497], [1244, 1495], [1246, 1574], [694, 1576]]
兒童捕得忙持歸 [[691, 1605], [1251, 1602], [1254, 1688], [694, 1694]]
呼童炙蟹沽新釀 [[698, 1724], [1251, 1721], [1253, 1808], [700, 1810]]
一杯獨酌還熙熙 [[701, 1839], [1249, 1837], [1251, 1917], [703, 1922]]
醉來閒倚南窗臥 [[697, 1951], [1256, 1949], [1258, 2035], [699, 2038]]
時時窗外涼風過 [[705, 2067], [1256, 2065], [1258, 2147], [707, 2152]]
