赤帝之精觀成敗已昭於前轍即晏遊 [[286, 278], [1698, 281], [1697, 373], [285, 372]]
宜節於後庭獨奈何歡昵燕堂方陳 [[290, 397], [1693, 398], [1692, 491], [289, 490]]
鳩牖封鯢之盛烈僅成樊雉之初心已 [[280, 515], [1684, 516], [1683, 604], [279, 603]]
蠱后儀偏教礮寵開三楊用事之門 [[282, 632], [1603, 631], [1602, 718], [283, 717]]
孫謀莫審燕貽玩七馬過江之數但貪 [[286, 745], [1693, 746], [1692, 832], [285, 831]]
尤物以為娛雖蹈覆車而不顧坐見 [[283, 864], [1601, 866], [1600, 945], [282, 944]]
色皆酒伐志以情荒騎龍子七年莫逭 [[285, 983], [1686, 983], [1686, 1061], [285, 1061]]
問蟆兒萬乘何當九族閱墻棣萼幾 [[379, 1099], [1683, 1099], [1683, 1178], [379, 1178]]
調於魚肉五胡犯闕宮車頻折於犬羊 [[282, 1219], [1685, 1219], [1685, 1289], [282, 1289]]
致牛胤潜移於晉祚想羊車堪笑於武 [[365, 1333], [1682, 1333], [1682, 1403], [365, 1403]]
皇噫小器易盈成功難處況中才 [[278, 1444], [1679, 1444], [1679, 1522], [278, 1522]]
本乏於有為即逸至易生於無事往者 [[272, 1562], [1677, 1562], [1677, 1637], [272, 1637]]
矯情牛矧僅因承魏以沽名今焉荒色 [[270, 1676], [1674, 1676], [1674, 1749], [270, 1750]]
羊車正是平吳而致慮弗收自己之放 [[276, 1787], [1676, 1787], [1676, 1869], [276, 1869]]
心無奈及身之私語說到銅駝荆棘 [[274, 1903], [1677, 1902], [1678, 1985], [275, 1986]]
衣落氈裘未嘗不追笑武皇之失御 [[354, 2019], [1550, 2018], [1551, 2100], [355, 2101]]
