丁寧數語溫存一章 [[689, 251], [1306, 254], [1305, 334], [688, 333]]
趨程協襲行囊 [[768, 373], [1227, 374], [1226, 447], [767, 445]]
梂營脫泊壽昌曉行 [[687, 481], [1305, 482], [1304, 566], [686, 565]]
數天甫到芹營 [[762, 605], [1227, 605], [1227, 677], [762, 677]]
山樓八位橋橫化江 [[690, 717], [1298, 718], [1297, 791], [689, 790]]
鬼門關廟進香 [[761, 834], [1227, 835], [1227, 906], [761, 906]]
征夫復到桄榔暫停 [[681, 952], [1294, 952], [1294, 1020], [681, 1020]]
靠連母子纔經 [[761, 1066], [1218, 1066], [1218, 1137], [761, 1137]]
越山直底團城駐軍 [[676, 1183], [1295, 1183], [1295, 1250], [676, 1250]]
二十八日侵晨 [[758, 1298], [1218, 1297], [1218, 1367], [758, 1368]]
進來仰德照循舊規 [[672, 1412], [1294, 1412], [1294, 1482], [672, 1483]]
次朝列位上司 [[755, 1529], [1206, 1528], [1207, 1595], [756, 1596]]
鳴鑼放砲一時齊來 [[668, 1636], [1288, 1635], [1289, 1709], [669, 1712]]
南關鎖鑰洞開 [[753, 1753], [1205, 1752], [1206, 1826], [754, 1827]]
詣昭德臺資進表章 [[670, 1867], [1287, 1865], [1288, 1941], [671, 1942]]
發銀頒自東倉 [[746, 1982], [1210, 1981], [1211, 2055], [747, 2056]]
行隨取次查詳姓名 [[663, 2096], [1283, 2094], [1284, 2167], [664, 2168]]
牌分夫馬發行 [[740, 2212], [1208, 2210], [1209, 2281], [741, 2282]]
戌時到幕府營定房 [[663, 2321], [1279, 2320], [1280, 2396], [664, 2399]]
