二天一路晴光 [[759, 279], [1243, 281], [1242, 351], [758, 350]]
憑詳中伙受降駐旌 [[671, 393], [1328, 394], [1327, 470], [670, 469]]
仲春朔旦平明 [[753, 511], [1238, 513], [1237, 586], [752, 585]]
歷馗纛至寧城登舟 [[667, 627], [1327, 628], [1326, 708], [666, 706]]
穩從東北順流 [[750, 746], [1237, 747], [1236, 821], [749, 819]]
過三江口直趨太平 [[664, 863], [1320, 864], [1319, 942], [663, 940]]
二天已别新寧 [[746, 981], [1232, 983], [1231, 1058], [745, 1057]]
青抽萬仞風輕一帆 [[660, 1097], [1320, 1098], [1319, 1176], [659, 1174]]
掠舟燕語呢喃 [[745, 1217], [1233, 1218], [1232, 1291], [744, 1290]]
瘴隨雨洗山含月來 [[657, 1329], [1315, 1330], [1314, 1412], [656, 1411]]
南寧三十六街 [[743, 1449], [1232, 1451], [1231, 1526], [742, 1524]]
香分酒店涼回梵家 [[650, 1566], [1308, 1567], [1307, 1647], [649, 1646]]
錦堆雲罽廣紗 [[739, 1685], [1226, 1686], [1225, 1763], [738, 1762]]
行商居贾山車水船 [[649, 1799], [1309, 1801], [1308, 1877], [648, 1876]]
人湊集屋蟬聯 [[732, 1919], [1223, 1920], [1222, 1997], [731, 1995]]
寔為兩越一天馬頭 [[646, 2036], [1302, 2036], [1302, 2109], [646, 2108]]
桂珠整辨行需 [[728, 2151], [1217, 2153], [1216, 2226], [727, 2225]]
壺分紹酒籠收藥材 [[645, 2271], [1299, 2272], [1298, 2345], [644, 2344]]
公同修啟遞回 [[730, 2387], [1210, 2388], [1209, 2458], [729, 2457]]
