季春初五船開長行 [[674, 250], [1294, 251], [1293, 325], [673, 324]]
順流過永淳城 [[757, 366], [1216, 367], [1215, 437], [756, 436]]
渡龍州磧泊黄州濱 [[673, 482], [1290, 482], [1290, 554], [673, 554]]
半僊風皺水紋 [[753, 599], [1216, 599], [1216, 666], [753, 665]]
擺荇開赴大灘司 [[676, 715], [1286, 715], [1286, 784], [676, 784]]
崇祠庸展敬儀 [[759, 829], [1216, 829], [1216, 903], [759, 903]]
纔一霎時過五險灘 [[674, 947], [1292, 945], [1293, 1016], [675, 1017]]
仰憑一棹安瀾 [[751, 1064], [1217, 1064], [1217, 1127], [751, 1127]]
直浮貴縣波乾浪平 [[674, 1174], [1292, 1173], [1293, 1251], [675, 1252]]
潯州嵐擁府城 [[756, 1295], [1215, 1294], [1215, 1367], [756, 1367]]
有宮慶祝有亭迎暉 [[674, 1403], [1292, 1402], [1293, 1480], [675, 1481]]
臨流下設巡司 [[751, 1521], [1205, 1520], [1206, 1593], [752, 1594]]
通商裕國布旗大書 [[675, 1634], [1295, 1633], [1296, 1710], [676, 1713]]
青峰綠水相於 [[749, 1748], [1217, 1746], [1219, 1822], [751, 1825]]
山樵穿徑蜑漁艤船 [[673, 1862], [1295, 1860], [1296, 1941], [674, 1942]]
平南一派清連 [[751, 1978], [1217, 1976], [1219, 2056], [753, 2058]]
祠留白馬跡傳梁爺 [[673, 2088], [1287, 2086], [1289, 2169], [675, 2171]]
飽風藤縣纔過 [[749, 2207], [1218, 2205], [1220, 2279], [751, 2281]]
戎墟那裏浮槎蔽江 [[672, 2318], [1292, 2317], [1293, 2398], [673, 2399]]
