此皆兩廣地方 [[741, 271], [1228, 273], [1227, 345], [740, 343]]
轉輪穀粟客商通同 [[647, 384], [1310, 387], [1309, 466], [646, 463]]
江頭路析西東 [[739, 503], [1226, 505], [1224, 583], [737, 581]]
使船爾日上從梧州 [[649, 621], [1303, 622], [1302, 697], [648, 695]]
風光别占一壺 [[731, 739], [1219, 741], [1218, 818], [730, 816]]
嵐晴雲嶺月舖鱷池 [[651, 856], [1303, 857], [1302, 938], [650, 937]]
火山冰井交輝 [[729, 978], [1219, 980], [1218, 1050], [728, 1048]]
桂江有渡準提有庵 [[643, 1092], [1301, 1094], [1300, 1170], [642, 1169]]
高工整了檣帆 [[726, 1211], [1211, 1211], [1211, 1284], [726, 1283]]
碧流上遡青岩夾隨 [[639, 1326], [1298, 1328], [1297, 1405], [638, 1404]]
夏雲初擁黃枝 [[720, 1447], [1216, 1449], [1215, 1520], [719, 1519]]
蟬調錦瑟月乖銀鉤 [[638, 1561], [1295, 1562], [1294, 1638], [637, 1636]]
花明石煦灘頭 [[715, 1681], [1210, 1682], [1209, 1754], [714, 1752]]
迅流怕急客舟嫌遲 [[634, 1796], [1291, 1797], [1290, 1873], [633, 1872]]
汨魚筏載鸕齲 [[712, 1914], [1212, 1915], [1211, 1987], [711, 1987]]
米憑溪杵水隨車翻 [[628, 2030], [1281, 2031], [1280, 2106], [627, 2105]]
砲臺影入長川 [[709, 2146], [1191, 2148], [1190, 2224], [708, 2223]]
霤經危磴人傳董公 [[624, 2263], [1287, 2264], [1286, 2344], [623, 2343]]
蔽流磯出玉峰 [[705, 2380], [1193, 2381], [1192, 2455], [704, 2453]]
