昭平傍凸岸中築城 [[679, 241], [1297, 244], [1296, 325], [678, 322]]
一碑三烈留名 [[756, 364], [1212, 365], [1211, 434], [755, 433]]
義高五指氣橫雙江 [[674, 477], [1292, 478], [1291, 555], [673, 554]]
飽經營屋村鄉 [[753, 593], [1215, 594], [1214, 665], [752, 664]]
洲浮二結灘藏五牛 [[673, 710], [1289, 710], [1289, 783], [673, 782]]
倏來平樂地頭 [[752, 827], [1211, 827], [1211, 899], [752, 898]]
舳橫水面印浮河中 [[675, 942], [1282, 942], [1282, 1015], [675, 1015]]
可堪行色匆匆 [[746, 1059], [1201, 1060], [1200, 1126], [746, 1124]]
途間遠客正逢端陽 [[666, 1176], [1293, 1175], [1293, 1246], [666, 1246]]
茶甌分酌昭江 [[744, 1291], [1205, 1291], [1205, 1359], [744, 1360]]
書龍有雨繫囊有符 [[659, 1404], [1291, 1404], [1292, 1478], [660, 1479]]
乘風解纜維舟 [[736, 1516], [1208, 1515], [1209, 1590], [737, 1593]]
班鳩早唱鷓鴣晚啼 [[663, 1631], [1282, 1630], [1283, 1703], [664, 1704]]
千重玉筍雲梯 [[738, 1748], [1203, 1746], [1204, 1820], [739, 1821]]
沉彬詩句留題碧蓮 [[654, 1861], [1287, 1859], [1288, 1934], [655, 1935]]
維舟陽朔城邊 [[734, 1976], [1204, 1975], [1205, 2052], [735, 2053]]
山腰古廟名傳令公 [[656, 2086], [1281, 2085], [1282, 2163], [657, 2165]]
一橋雙月邀風 [[734, 2209], [1201, 2209], [1201, 2277], [734, 2277]]
斜暉鐘響來從鑑山 [[653, 2316], [1273, 2316], [1273, 2392], [653, 2392]]
