妙明空色現前 [[749, 281], [1234, 283], [1233, 353], [748, 351]]
佛稱無量俗傳真身 [[660, 394], [1307, 395], [1306, 473], [659, 472]]
景兼柳月岐雲 [[743, 514], [1229, 515], [1228, 589], [742, 588]]
全州此地是秦長沙 [[663, 629], [1318, 629], [1317, 705], [662, 704]]
途經青水金花 [[748, 746], [1231, 748], [1230, 820], [747, 818]]
松杉櫞樟浮槎蔽流 [[661, 861], [1313, 863], [1312, 939], [660, 938]]
兵書堆積山頭 [[743, 982], [1228, 983], [1228, 1054], [743, 1053]]
村翁講是武侯留來 [[659, 1096], [1309, 1097], [1308, 1172], [658, 1171]]
披摛景為人佳 [[738, 1217], [1231, 1217], [1231, 1286], [738, 1286]]
冰含碧曩山排修眉 [[654, 1335], [1307, 1335], [1307, 1402], [654, 1402]]
阜頭纜繫漁磯 [[741, 1447], [1231, 1448], [1230, 1522], [740, 1521]]
永州奉贄崇祠進香 [[653, 1560], [1308, 1561], [1308, 1637], [653, 1637]]
雙流水合瀟湘 [[739, 1681], [1218, 1681], [1218, 1749], [739, 1749]]
布帆風健花墻雲低 [[653, 1796], [1307, 1797], [1306, 1870], [652, 1869]]
