龍湖大風紀懷 [[718, 745], [1329, 744], [1330, 834], [719, 836]]
共說百年無此風 [[739, 889], [1318, 888], [1319, 962], [740, 963]]
翻能一夜蕩吾室 [[740, 1005], [1320, 1004], [1321, 1088], [741, 1089]]
存全半日楊柳姿 [[742, 1124], [1318, 1123], [1319, 1201], [743, 1202]]
挫折多年松柏質 [[741, 1242], [1317, 1241], [1318, 1314], [742, 1316]]
松桓楊柳不同科 [[752, 1359], [1325, 1358], [1326, 1434], [753, 1435]]
世事榮枯奈若何 [[751, 1478], [1329, 1476], [1330, 1552], [752, 1554]]
回首肇豐萬重水 [[758, 1595], [1329, 1593], [1330, 1669], [759, 1671]]
傷心定遠一千家 [[754, 1709], [1325, 1708], [1326, 1787], [755, 1789]]
千家流到蠻夷土 [[755, 1829], [1325, 1828], [1326, 1903], [756, 1904]]
水多鱷魚陸蛇虎 [[754, 1945], [1334, 1945], [1334, 2021], [754, 2021]]
新田不足吏人求 [[761, 2062], [1332, 2062], [1332, 2136], [761, 2136]]
