有時遇於風高浪震兮多使人於汗駭魂驚 [[328, 287], [1653, 288], [1653, 368], [328, 368]]
有時看乎穀紋漣漪兮多使人乎心曠神清 [[329, 407], [1660, 407], [1660, 482], [329, 482]]
有時睹乎魚躍鳶飛兮多使人乎送念明 [[329, 522], [1651, 522], [1651, 599], [329, 599]]
有時感於白雲流水兮多使人於物我忘情 [[325, 637], [1657, 638], [1657, 717], [325, 716]]
自是 [[338, 754], [479, 755], [478, 821], [337, 820]]
昧旦往來棲遲舴艋 [[325, 871], [1064, 872], [1063, 945], [324, 944]]
或隨漲而泊蘆陰或橫笳而歌夜靜 [[330, 989], [1477, 990], [1476, 1069], [329, 1068]]
或撥槳於困漁或徘綸而引梗 [[329, 1106], [1390, 1107], [1389, 1184], [328, 1183]]
覺天地兮無遺極風霜兮自猛 [[323, 1223], [1402, 1223], [1402, 1296], [323, 1296]]
簿浮生如漚雲視萬物如毫穎 [[331, 1337], [1391, 1337], [1391, 1414], [331, 1414]]
愴皇華兮野亡悲漂泠兮獨警 [[321, 1456], [1389, 1456], [1389, 1531], [321, 1531]]
而又 [[327, 1578], [476, 1578], [476, 1632], [327, 1632]]
思美人兮渺何之懷故國兮徒引領 [[325, 1686], [1555, 1687], [1554, 1762], [324, 1761]]
知旰午食兮羹墻顧宵霜衣兮衾影 [[322, 1799], [1567, 1799], [1566, 1883], [321, 1882]]
愧長大之無才空感憤於光景 [[321, 1918], [1384, 1919], [1384, 1995], [321, 1994]]
寄竿竹以生涯安此生於有幸 [[324, 2031], [1333, 2032], [1332, 2108], [323, 2107]]
對雲水以終年煙波於萬頃 [[323, 2150], [1332, 2150], [1332, 2223], [323, 2222]]
期不負乎漁樂半生中暢予懷而詩歌 [[323, 2264], [1636, 2264], [1636, 2341], [323, 2340]]
三十詠 [[324, 2380], [560, 2380], [560, 2442], [324, 2442]]
